                    0          1          2          3          4          5          6          7          8          9         10         11         12         13         14         15         16         17         18         19         20         21         22         23         24         25         26         27         28         29         30         31         32         33         34         35         36         37         38         39         40         41         42         43         44         45         46         47         48         49         50         51         52         53         54         55         56         57         58         59         60         61         62         63         64         65         66         67         68         69         70         71         72         73         74         75         76         77         78         79         80         81         82         83         84         85         86         87         88         89 
   \lambda  0.0118649  0.0036645  0.0009149  0.0004461  0.0003912  0.0001931  0.0001680  0.0002985  0.0020361  0.0011471  0.0001060  0.0000317  0.0001153  0.0003562  0.0012433  0.0320909  0.0104149  0.0043475  0.0010532  0.0011265  0.0006208  0.0003891  0.0003148  0.0005647  0.0008734  0.0000136  0.0000254  0.0000530  0.0004207  0.0025254  0.2373121  0.0126103  0.0053299  0.0017888  0.0201237  0.0006292  0.0002336  0.0002581  0.0000901  0.0004691  0.0000274  0.0000510  0.0001842  0.0009304  0.0037213 *0.3766674  0.0043889  0.0093848  0.0035404  0.0394743  0.0005921  0.0004915  0.0006812  0.0011182  0.0025592  0.0003377  0.0001281  0.0001854  0.0004103  0.0031427  0.1515711  0.0029461  0.0019456  0.0008067  0.0054985  0.0002640  0.0002982  0.0002292  0.0010573  0.0008018  0.0005263  0.0000590  0.0000569  0.0002423  0.0025026  0.0097644  0.0014509  0.0005412  0.0005531  0.0001773  0.0002520  0.0007467  0.0006163  0.0037350  0.0029648  0.0015763  0.0000790  0.0001104  0.0004977  0.0034569 
         >  0.0001888  0.0010448  0.0007487  0.0003217  0.0000442  0.0000553  0.0000595  0.0000279  0.0000157  0.0000119  0.0000212  0.0000573  0.0000125  0.0000092  0.0000039  0.0004683  0.0027900  0.0117751  0.0003618  0.0000619  0.0005549  0.0002529  0.0000429  0.0000049  0.0000039  0.0000283  0.0000124  0.0000096  0.0000058  0.0000056  0.0011167  0.0046183  0.1640892  0.0058716  0.0014205  0.0044812  0.0004952  0.0001438  0.0000025  0.0000046  0.0001562  0.0000289  0.0000061  0.0000067  0.0000124  0.0013898  0.0094841 *0.6893612  0.0041203  0.0040759  0.0037020  0.0005743  0.0000619  0.0000096  0.0000177  0.0000273  0.0000045  0.0000206  0.0000187  0.0000163  0.0008109  0.0116304  0.0672653  0.0004099  0.0005138  0.0006761  0.0002165  0.0000030  0.0000060  0.0000046  0.0000004  0.0000154  0.0002336  0.0000829  0.0000239  0.0006394  0.0016911  0.0005802  0.0001280  0.0000677  0.0000910  0.0000312  0.0000054  0.0000100  0.0000111  0.0000045  0.0002882  0.0002002  0.0000116  0.0000088 
   \lambda  0.0000193  0.0000109  0.0000246  0.0001170  0.0003537  0.0000451  0.0000128  0.0000102  0.0000453  0.0000168  0.0000004  0.0000001  0.0000033  0.0000016  0.0000004  0.0000448  0.0000107  0.0000215  0.0001981  0.0015127  0.0002399  0.0000109  0.0000035  0.0000211  0.0000078  0.0000001  0.0000001  0.0000012  0.0000007  0.0000004  0.0001544  0.0000126  0.0000397  0.0005735  0.1548422  0.0005758  0.0000132  0.0000054  0.0000031  0.0000081  0.0000006  0.0000009  0.0000007  0.0000006  0.0000006  0.0004394  0.0000041  0.0001139  0.0023956 *0.8159118  0.0016122  0.0000063  0.0000245  0.0000601  0.0000283  0.0000011  0.0000001  0.0000001  0.0000002  0.0000009  0.0001922  0.0000097  0.0002222  0.0029089  0.0162655  0.0001588  0.0000021  0.0000054  0.0000303  0.0000012  0.0000002  0.0000000  0.0000000  0.0000002  0.0000019  0.0000151  0.0000180  0.0000388  0.0004771  0.0000277  0.0000106  0.0000065  0.0000099  0.0000231  0.0000021  0.0000014  0.0000001  0.0000003  0.0000012  0.0000045 
         _  0.0000360  0.0001484  0.0001088  0.0001346  0.0001439  0.0010646  0.0011123  0.0002789  0.0001580  0.0001448  0.0002347  0.0002021  0.0000125  0.0000155  0.0000025  0.0000762  0.0002059  0.0003927  0.0000711  0.0001936  0.0449507  0.0119901  0.0004516  0.0000521  0.0000483  0.0003503  0.0000317  0.0000088  0.0000064  0.0000020  0.0000981  0.0002195  0.0036815  0.0005421  0.0014553  0.2870689  0.0162785  0.0024558  0.0000289  0.0001867  0.0067300  0.0001297  0.0000129  0.0000074  0.0000054  0.0001106  0.0005046  0.0200549  0.0009025  0.0080627 *0.4392005  0.0199249  0.0023226  0.0004913  0.0012377  0.0009308  0.0000135  0.0000133  0.0000085  0.0000047  0.0000587  0.0004674  0.0026001  0.0002414  0.0056196  0.1043836  0.0051419  0.0000744  0.0004650  0.0002248  0.0000022  0.0000146  0.0000369  0.0000081  0.0000020  0.0001666  0.0003247  0.0001865  0.0003209  0.0016113  0.0018085  0.0002794  0.0000602  0.0003047  0.0000908  0.0000118  0.0001336  0.0000435  0.0000025  0.0000014 
         {  0.0000613  0.0001417  0.0000438  0.0000905  0.0001668  0.0011195  0.0006006  0.0002370  0.0004666  0.0001171  0.0001058  0.0000012  0.0000019  0.0000008  0.0000015  0.0001222  0.0001239  0.0000484  0.0000590  0.0003962  0.2473399  0.0209573  0.0000747  0.0000575  0.0000027  0.0000611  0.0000005  0.0000063  0.0000002  0.0000005  0.0000013  0.0000116  0.0000618  0.0000101  0.0000128 *0.3994051  0.0087413  0.0000245  0.0000183  0.0000332  0.0003881  0.0000111  0.0000016  0.0000000  0.0000001  0.0000002  0.0000268  0.0000514  0.0000124  0.0000203  0.2621302  0.0004315  0.0000090  0.0000396  0.0000245  0.0000467  0.0000105  0.0000007  0.0000000  0.0000001  0.0000003  0.0000693  0.0000390  0.0000546  0.0001356  0.0522179  0.0000979  0.0000071  0.0000842  0.0000661  0.0000001  0.0000016  0.0000018  0.0000001  0.0000001  0.0000534  0.0001309  0.0000569  0.0002507  0.0015467  0.0009592  0.0000245  0.0000261  0.0001997  0.0000243  0.0000003  0.0000160  0.0000035  0.0000004  0.0000004 
         c  0.0000046  0.0000051  0.0000042  0.0000058  0.0000057  0.0000251  0.0000178  0.0000079  0.0000075  0.0000042  0.0000299  0.0000061  0.0000010  0.0000002  0.0000001  0.0000126  0.0000381  0.0000093  0.0000023  0.0000039  0.0005947  0.0002384  0.0000085  0.0000013  0.0000027  0.0000131  0.0000009  0.0000005  0.0000001  0.0000000  0.0000423  0.0000735  0.0001169  0.0000169  0.0000494  0.0106541  0.0009490  0.0000376  0.0000020  0.0000097  0.0000536  0.0000049  0.0000019  0.0000003  0.0000001  0.0000978  0.0000568  0.0002943  0.0000193  0.0005340  0.3038015  0.0014328  0.0000545  0.0000267  0.0000173  0.0000118  0.0000022  0.0000020  0.0000002  0.0000001  0.0000741  0.0002522  0.0007013  0.0000264  0.0017228 *0.6733316  0.0013599  0.0000196  0.0000827  0.0000395  0.0000055  0.0000027  0.0000019  0.0000002  0.0000001  0.0000772  0.0001132  0.0000913  0.0001656  0.0005449  0.0016312  0.0000748  0.0000332  0.0001575  0.0000311  0.0000348  0.0000084  0.0000008  0.0000001  0.0000002 
         }  0.0000852  0.0001369  0.0002323  0.0007492  0.0002335  0.0003403  0.0009338  0.0010470  0.0001412  0.0000344  0.0000110  0.0002678  0.0001011  0.0000625  0.0000121  0.0000727  0.0000656  0.0006836  0.0003099  0.0000944  0.0000867  0.0011149  0.0020497  0.0001091  0.0000165  0.0000142  0.0002775  0.0000628  0.0000203  0.0000061  0.0000140  0.0000261  0.0000708  0.0000354  0.0000287  0.0008417  0.0110828  0.0183753  0.0006949  0.0001495  0.0002944  0.0007604  0.0001074  0.0000118  0.0000098  0.0000142  0.0000155  0.0000255  0.0000099  0.0000444  0.0044220  0.1088515  0.0071016  0.0006515  0.0001485  0.0001041  0.0000218  0.0001438  0.0000219  0.0000125  0.0000206  0.0001226  0.0007769  0.0002371  0.0002196  0.0116517 *0.6953057  0.0065968  0.0015396  0.0002053  0.0000238  0.0000671  0.0001538  0.0000517  0.0000148  0.0010088  0.0014758  0.0082758  0.0031694  0.0032831  0.0232882  0.0722919  0.0039550  0.0013650  0.0001927  0.0000691  0.0004696  0.0005964  0.0000892  0.0000187 
         =  0.0000203  0.0000242  0.0000393  0.0000856  0.0000804  0.0001200  0.0003157  0.0002977  0.0002101  0.0000949  0.0000415  0.0000297  0.0000485  0.0001130  0.0000075  0.0000250  0.0000650  0.0004845  0.0000801  0.0000691  0.0001980  0.0014577  0.0033896  0.0002608  0.0001200  0.0000120  0.0000243  0.0000198  0.0000347  0.0000045  0.0001003  0.0000440  0.0004160  0.0001391  0.0002878  0.0011997  0.0167921  0.2307288  0.0006778  0.0005648  0.0000494  0.0000597  0.0000574  0.0002451  0.0000183  0.0001125  0.0000628  0.0010528  0.0001176  0.0001539  0.0020800 *0.3997150  0.2727870  0.0032224  0.0009890  0.0001262  0.0000121  0.0001145  0.0003813  0.0000192  0.0000389  0.0000585  0.0002888  0.0000811  0.0003738  0.0015064  0.0527018  0.0011352  0.0006047  0.0000576  0.0000072  0.0000035  0.0000167  0.0000426  0.0000069  0.0000227  0.0000151  0.0000402  0.0000852  0.0000714  0.0005207  0.0017726  0.0001526  0.0001890  0.0000413  0.0000108  0.0000172  0.0000249  0.0000092  0.0000031 
     \frac  0.0000179  0.0000028  0.0000010  0.0000024  0.0000446  0.0000725  0.0000401  0.0000504  0.0009887  0.0031865  0.0001062  0.0000088  0.0000261  0.0000489  0.0000200  0.0000204  0.0000025  0.0000010  0.0000106  0.0003278  0.0006918  0.0001372  0.0000681  0.0008930  0.0088069  0.0000362  0.0000095  0.0000130  0.0000340  0.0000122  0.0000541  0.0000027  0.0000013  0.0000152  0.0043398  0.0007429  0.0002178  0.0007199  0.0023617  0.0463020  0.0002801  0.0000506  0.0000638  0.0002641  0.0000803  0.0000911  0.0000021  0.0000019  0.0000630  0.0071801  0.0008660  0.0003610  0.0095449  0.2917846 *0.4305497  0.0034759  0.0000422  0.0000257  0.0000628  0.0000448  0.0000408  0.0000016  0.0000022  0.0000254  0.0007931  0.0003727  0.0001391  0.0013441  0.1663966  0.0074219  0.0006612  0.0000134  0.0000036  0.0000031  0.0000056  0.0000074  0.0000010  0.0000014  0.0000172  0.0000199  0.0000336  0.0000941  0.0003680  0.0059702  0.0005645  0.0004032  0.0000054  0.0000027  0.0000041  0.0000094 
         {  0.0093247  0.0022460  0.0006561  0.0006791  0.0039771  0.0051426  0.0034808  0.0069918  0.0958258 *0.2271075  0.0061236  0.0015176  0.0041025  0.0078751  0.0097210  0.0050576  0.0011386  0.0002414  0.0007427  0.0073638  0.0158873  0.0063807  0.0068475  0.0990115  0.1220472  0.0029315  0.0021789  0.0052804  0.0018667  0.0025073  0.0008190  0.0004229  0.0000477  0.0000406  0.0012134  0.0028610  0.0032604  0.0013283  0.0248759  0.1091001  0.0068922  0.0026342  0.0025558  0.0009785  0.0013344  0.0004219  0.0005058  0.0000126  0.0001092  0.0005007  0.0008536  0.0002546  0.0008220  0.0204090  0.0275065  0.0141147  0.0061976  0.0022863  0.0003590  0.0007917  0.0004781  0.0002513  0.0000227  0.0002993  0.0011017  0.0005780  0.0001621  0.0013099  0.0131267  0.0163271  0.0201247  0.0088641  0.0005670  0.0000738  0.0002110  0.0012386  0.0003282  0.0001952  0.0005785  0.0009356  0.0010387  0.0005230  0.0040119  0.0130645  0.0069617  0.0066193  0.0014827  0.0003369  0.0004676  0.0009560 
